olympiad_family,year,stage_or_round,document_types_found,num_document_types
vsosh_astronomy,2020,regional,"results,solutions,tasks",3
vsosh_astronomy,2021,final,"solutions,tasks",2
vsosh_astronomy,2021,qualifying,"solutions,tasks",2
vsosh_astronomy,2021,regional,"results,solutions,tasks",3
vsosh_astronomy,2022,final,"solutions,tasks",2
vsosh_astronomy,2022,qualifying,"solutions,tasks",2
vsosh_astronomy,2022,regional,"results,solutions,tasks",3
vsosh_astronomy,2023,final,"requirements,solutions,tasks",3
vsosh_astronomy,2023,qualifying,"solutions,tasks",2
vsosh_astronomy,2023,regional,"reference_data,requirements,results,solutions,tasks",5
vsosh_astronomy,2023,unknown,"info,reference_data",2
vsosh_astronomy,2024,final,"marking,requirements,solutions,tasks",4
vsosh_astronomy,2024,qualifying,"solutions,tasks",2
vsosh_astronomy,2024,regional,"marking,reference_data,requirements,results,solutions,tasks",6
vsosh_astronomy,2024,unknown,info,1
vsosh_astronomy,2025,final,"info,requirements,solutions,tasks",4
vsosh_astronomy,2025,qualifying,"solutions,tasks",2
vsosh_astronomy,2025,regional,"protocol,requirements,results,solutions,tasks",5
vsosh_astronomy,2026,final,"info,order,protocol,regulations,requirements,solutions,tasks",7
vsosh_astronomy,2026,qualifying,"solutions,tasks",2
vsosh_astronomy,2026,regional,"order,protocol,reference_data,requirements,results,solutions,tasks",7
vsosh_astronomy,2026,unknown,reference_data,1
